date,country,bulls price(€/100kg),bulls(1000 heads),bulls(kg/head),cows price(€/100kg),cows(1000 heads),cows(kg/head),heifers price(€/100kg),heifers(1000 heads),heifers(kg/head),steers price(€/100kg),steers(1000 heads),steers(kg/head),young bulls price(€/100kg),young bulls(1000 heads),young bulls(kg/head),pigmeat price(€/100kg),cattle fattening nuts and cubes price(€/tonne),cattle fattening meal(€/tonne)
2017-01-01,Ireland,300.264,24.61,371.8000812677773,321.644,27.8,317.2661870503597,383.688,50.57,311.6472216729286,370.55600000000004,46.02,351.8035636679705,361.812,0.18,222.2222222222222,154.016,262.44,250.44
2017-02-01,Ireland,317.12749999999994,22.4,376.7857142857143,325.3225,29.29,310.6862410378969,384.245,47.56,311.3961312026913,371.98,47.14,348.7484089944845,361.915,2.6,142.3076923076923,159.19,264.56,248.93
2017-03-01,Ireland,328.55,17.83,382.5014021312395,331.035,29.63,309.1461356733041,390.06,49.82,312.1236451224408,378.415,54.83,345.6137151194602,368.46000000000004,3.06,140.5228758169935,164.14,265.0,249.0
2017-04-01,Ireland,338.15749999999997,15.32,385.7702349869451,342.9275,25.14,312.6491646778043,403.50500000000005,41.97,312.12771026924,391.925,46.7,346.0385438972162,382.41249999999997,0.74,148.6486486486486,164.47750000000002,265.39,249.44
2017-05-01,Ireland,333.01599999999996,21.47,375.873311597578,352.678,36.83,315.7751832745045,413.582,46.34,313.767803193785,402.46,48.01,350.1353884607373,396.36,0.18,166.6666666666667,164.99,265.67,249.75
2017-06-01,Ireland,313.76750000000004,21.58,373.0305838739574,342.3175,35.62,318.6412128017968,414.78,45.74,313.9484040227372,403.3125,51.65,352.3717328170378,399.46,0.15,200.0,166.0975,265.39,250.06
2017-07-01,Ireland,291.28000000000003,14.07,371.0021321961621,341.95199999999994,31.38,316.7622689611217,406.34400000000005,40.87,312.943479324688,395.744,57.12,353.9915966386555,392.028,0.08,250.0,168.764,265.39,250.06
2017-08-01,Ireland,277.81,13.62,381.057268722467,336.065,30.22,317.6704169424223,389.27,44.09,315.0374234520299,379.1825,73.54,360.3481098721784,376.845,0.06,166.6666666666667,162.1375,265.67,254.76
2017-09-01,Ireland,274.83000000000004,11.47,379.2502179598953,333.95,28.78,314.4544822793607,382.375,42.55,313.5135135135135,372.13,76.79,360.8542779007683,370.2475,0.12,250.0,158.11999999999998,265.39,254.47
2017-10-01,Ireland,283.926,14.25,374.0350877192982,332.404,33.64,309.1557669441141,378.7,44.78,308.6199196069674,367.1719999999999,72.79,357.3293034757521,366.614,0.13,230.7692307692308,153.606,264.32,254.76
2017-11-01,Ireland,284.31,23.38,372.1129170230967,334.96750000000003,39.24,302.2426095820591,385.115,53.14,306.5487391795258,372.465,65.65,351.2566641279512,372.0125,0.13,230.7692307692308,148.82,264.42,255.35
2017-12-01,Ireland,307.1475,25.06,365.9217877094972,343.77250000000004,27.74,301.7303532804614,400.16999999999996,45.71,305.4036315904617,388.085,44.34,347.3161930536761,383.4975,0.12,166.6666666666667,145.35750000000002,264.68,255.35
2018-01-01,Ireland,311.166,27.81,371.4491190219346,347.17,28.73,315.3498085624782,402.12600000000003,53.23,310.7270336276536,389.48799999999994,48.57,348.1572987440807,382.864,0.18,222.2222222222222,140.092,262.79,259.11
2018-02-01,Ireland,329.7,23.43,375.5868544600939,346.27,29.84,306.6353887399464,397.065,46.7,309.4218415417559,384.91,46.07,344.9099196874322,375.265,4.48,113.8392857142857,138.45749999999998,265.79,262.33
2018-03-01,Ireland,343.03000000000003,18.89,384.3303335097935,352.895,29.18,304.3180260452365,402.19,46.09,311.1303970492514,389.46,50.38,345.5736403334656,381.39,4.01,114.713216957606,138.92000000000002,266.05,262.06
2018-04-01,Ireland,347.18600000000004,16.39,388.6516168395363,358.426,31.96,300.6883604505632,408.604,46.25,310.9189189189189,396.59,51.52,342.5854037267081,391.08,0.96,125.0,139.49200000000002,267.84,264.89
2018-05-01,Ireland,343.05,21.0,380.952380952381,367.13,31.67,305.0205241553521,419.43,45.93,311.7787938166775,408.0875,50.7,346.5483234714003,403.52,0.35,142.8571428571429,140.26749999999998,275.68,271.21
2018-06-01,Ireland,324.53000000000003,23.25,375.0537634408602,358.98749999999995,35.48,310.315670800451,419.9425,42.36,312.5590179414542,407.515,46.04,349.2615117289313,404.67749999999995,0.11,181.8181818181818,140.69,277.95,271.15
2018-07-01,Ireland,284.62199999999996,19.02,375.3943217665615,328.14,38.14,302.045097011012,398.438,45.5,307.032967032967,386.69399999999996,60.21,346.1219066600232,384.688,0.08,250.0,140.012,279.9,274.28
2018-08-01,Ireland,281.4975,16.26,373.9237392373923,328.6725,34.82,299.5404939689834,393.095,45.32,307.811120917917,382.5875,67.13,347.8325636824073,377.1475,0.11,181.8181818181818,137.2375,284.53,280.97
2018-09-01,Ireland,271.44250000000005,12.86,376.3608087091757,320.5225,33.04,302.0581113801453,382.66999999999996,45.28,308.9664310954063,371.975,69.2,353.757225433526,367.9775,0.07,142.8571428571428,137.45499999999998,290.79,285.29
