"STATISTIC Label","Month","Type of Feedstuff","UNIT","VALUE"
"Feed Stuff Price","2017 January","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","262.44"
"Feed Stuff Price","2017 January","Cattle fattening meal (13-15% protein)","Euro per Tonne","250.44"
"Feed Stuff Price","2017 February","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","264.56"
"Feed Stuff Price","2017 February","Cattle fattening meal (13-15% protein)","Euro per Tonne","248.93"
"Feed Stuff Price","2017 March","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","265"
"Feed Stuff Price","2017 March","Cattle fattening meal (13-15% protein)","Euro per Tonne","249"
"Feed Stuff Price","2017 April","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","265.39"
"Feed Stuff Price","2017 April","Cattle fattening meal (13-15% protein)","Euro per Tonne","249.44"
"Feed Stuff Price","2017 May","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","265.67"
"Feed Stuff Price","2017 May","Cattle fattening meal (13-15% protein)","Euro per Tonne","249.75"
"Feed Stuff Price","2017 June","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","265.39"
"Feed Stuff Price","2017 June","Cattle fattening meal (13-15% protein)","Euro per Tonne","250.06"
"Feed Stuff Price","2017 July","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","265.39"
"Feed Stuff Price","2017 July","Cattle fattening meal (13-15% protein)","Euro per Tonne","250.06"
"Feed Stuff Price","2017 August","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","265.67"
"Feed Stuff Price","2017 August","Cattle fattening meal (13-15% protein)","Euro per Tonne","254.76"
"Feed Stuff Price","2017 September","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","265.39"
"Feed Stuff Price","2017 September","Cattle fattening meal (13-15% protein)","Euro per Tonne","254.47"
"Feed Stuff Price","2017 October","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","264.32"
"Feed Stuff Price","2017 October","Cattle fattening meal (13-15% protein)","Euro per Tonne","254.76"
"Feed Stuff Price","2017 November","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","264.42"
"Feed Stuff Price","2017 November","Cattle fattening meal (13-15% protein)","Euro per Tonne","255.35"
"Feed Stuff Price","2017 December","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","264.68"
"Feed Stuff Price","2017 December","Cattle fattening meal (13-15% protein)","Euro per Tonne","255.35"
"Feed Stuff Price","2018 January","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","262.79"
"Feed Stuff Price","2018 January","Cattle fattening meal (13-15% protein)","Euro per Tonne","259.11"
"Feed Stuff Price","2018 February","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","265.79"
"Feed Stuff Price","2018 February","Cattle fattening meal (13-15% protein)","Euro per Tonne","262.33"
"Feed Stuff Price","2018 March","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","266.05"
"Feed Stuff Price","2018 March","Cattle fattening meal (13-15% protein)","Euro per Tonne","262.06"
"Feed Stuff Price","2018 April","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","267.84"
"Feed Stuff Price","2018 April","Cattle fattening meal (13-15% protein)","Euro per Tonne","264.89"
"Feed Stuff Price","2018 May","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","275.68"
